,pre_total,post_total,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3i,P3ii,P4,P5,gain
pre_total,1.0,0.223,0.43,0.38,0.189,0.171,0.248,0.417,0.366,0.462,0.32,0.39,-0.02,0.21,0.051,0.069,0.172,0.157,-0.55
post_total,0.223,1.0,0.158,0.015,-0.144,-0.004,-0.071,0.178,0.18,0.228,0.121,0.103,0.307,0.728,0.568,0.619,0.418,0.58,0.691
Q1,0.43,0.158,1.0,0.133,-0.044,-0.16,-0.003,0.135,0.038,0.066,0.138,0.12,0.112,0.197,-0.038,0.019,0.169,0.045,-0.184
Q2,0.38,0.015,0.133,1.0,-0.046,0.065,-0.061,0.045,0.08,-0.115,0.066,0.084,-0.056,0.134,-0.17,-0.144,0.019,0.077,-0.269
Q3,0.189,-0.144,-0.044,-0.046,1.0,-0.143,0.14,-0.043,-0.129,0.019,-0.15,0.005,-0.045,-0.163,-0.104,-0.034,-0.033,-0.047,-0.263
Q4,0.171,-0.004,-0.16,0.065,-0.143,1.0,-0.13,-0.022,0.046,-0.029,0.041,-0.142,-0.034,0.01,0.015,-0.034,-0.0,0.002,-0.13
Q5,0.248,-0.071,-0.003,-0.061,0.14,-0.13,1.0,-0.148,-0.06,0.17,0.022,-0.134,-0.075,-0.097,0.045,0.03,-0.187,0.008,-0.244
Q6,0.417,0.178,0.135,0.045,-0.043,-0.022,-0.148,1.0,0.191,0.167,-0.045,0.134,0.0,0.116,0.046,0.065,0.205,0.143,-0.157
Q7,0.366,0.18,0.038,0.08,-0.129,0.046,-0.06,0.191,1.0,0.058,-0.087,0.16,-0.013,0.168,0.158,0.16,0.095,0.015,-0.117
Q8,0.462,0.228,0.066,-0.115,0.019,-0.029,0.17,0.167,0.058,1.0,0.057,0.141,0.01,0.124,0.13,0.149,0.089,0.203,-0.147
Q9,0.32,0.121,0.138,0.066,-0.15,0.041,0.022,-0.045,-0.087,0.057,1.0,0.071,0.052,0.17,0.029,-0.005,0.146,-0.003,-0.133
Q10,0.39,0.103,0.12,0.084,0.005,-0.142,-0.134,0.134,0.16,0.141,0.071,1.0,-0.02,0.054,0.087,0.04,0.09,0.081,-0.201
P1,-0.02,0.307,0.112,-0.056,-0.045,-0.034,-0.075,0.0,-0.013,0.01,0.052,-0.02,1.0,0.02,0.091,0.118,0.066,0.2,0.278
P2,0.21,0.728,0.197,0.134,-0.163,0.01,-0.097,0.116,0.168,0.124,0.17,0.054,0.02,1.0,0.185,0.215,0.274,0.227,0.468
P3i,0.051,0.568,-0.038,-0.17,-0.104,0.015,0.045,0.046,0.158,0.13,0.029,0.087,0.091,0.185,1.0,0.836,0.086,0.011,0.448
P3ii,0.069,0.619,0.019,-0.144,-0.034,-0.034,0.03,0.065,0.16,0.149,-0.005,0.04,0.118,0.215,0.836,1.0,0.143,0.061,0.48
P4,0.172,0.418,0.169,0.019,-0.033,-0.0,-0.187,0.205,0.095,0.089,0.146,0.09,0.066,0.274,0.086,0.143,1.0,0.093,0.23
P5,0.157,0.58,0.045,0.077,-0.047,0.002,0.008,0.143,0.015,0.203,-0.003,0.081,0.2,0.227,0.011,0.061,0.093,1.0,0.381
gain,-0.55,0.691,-0.184,-0.269,-0.263,-0.13,-0.244,-0.157,-0.117,-0.147,-0.133,-0.201,0.278,0.468,0.448,0.48,0.23,0.381,1.0
